Date,Open,High,Low,Close,Volume
2023-04-26,191.55010357237538,193.2903833447205,189.51150226399943,190.4562225341797,4007600
2023-04-27,193.0914963867493,196.4129409811321,192.19650143464602,194.85166931152344,4794400
2023-04-28,195.06048763456818,197.54660149773645,194.1853858730766,197.26815795898438,4094600
2023-05-01,196.66155883676313,197.94440217416175,196.0251142518171,196.69139099121094,2882900
2023-05-02,196.9201111940766,197.30794434991031,191.8583718345613,192.76332092285156,6051000
2023-05-03,193.13128010851327,194.70249075012296,191.49043581969025,191.5401611328125,3779900
2023-05-04,190.834117556555,193.47934667433012,189.7004501023709,191.31146240234375,4386500
2023-05-05,192.8727264567204,197.00962390970201,192.1766175521408,196.4925079345703,4282800
2023-05-08,197.61624926031214,199.3863613793329,194.99091323863803,196.80079650878906,4169400
2023-05-09,195.6870064098593,202.6680188581978,195.6870064098593,200.06256103515625,6996800
2023-05-10,203.80168518358965,205.13423865557482,201.91222942533824,203.71218872070312,6535600
2023-05-11,201.78295665201776,202.66801261288995,197.44717330825338,202.33984375,5366300
2023-05-12,202.30006873216524,202.82713888009906,199.01841026798363,200.68907165527344,4733000
2023-05-15,202.61828788328486,204.25911702843106,201.35533774198186,202.20062255859375,4518200
2023-05-16,200.80838565699057,204.52761753274464,200.62939273882736,203.4237823486328,4423200
2023-05-17,205.353017557008,208.3264153804137,203.66246306229016,208.21702575683594,5772200
2023-05-18,208.33634255450949,212.6920189156362,208.167288632032,212.1351318359375,5165500
2023-05-19,211.77715413751025,212.05559770800252,208.7639698317607,209.19158935546875,6090800
2023-05-22,208.00817529442955,211.63791068116106,207.87889251635468,209.0921173095703,3890800
2023-05-23,206.58614481990983,208.47558548553542,205.32319459551914,205.49224853515625,4256800
2023-05-24,204.89555858179043,209.04240996215643,204.27900718403484,207.89878845214844,4894000
2023-05-25,210.84236041332863,211.15063612155984,207.28224334355622,208.74407958984375,6496700
2023-05-26,211.61802665051684,214.94941030508335,211.36941525059237,214.2433624267578,6933300
2023-05-30,218.0520842071009,220.90613813501216,214.53173839467502,217.654296875,10421000
2023-05-31,218.33053843057937,223.75026401297535,215.85436337951617,222.13926696777344,19624000
2023-06-01,207.0634550799869,214.1637957495777,204.9154490352279,211.7174530029297,20907400
2023-06-02,211.71745794154714,214.93946708384365,209.261176144686,211.84674072265625,11023500
2023-06-05,209.30094830731105,211.1406785757311,205.90988546666193,208.6943359375,7804400
2023-06-06,207.39163594957344,212.21468807572788,207.21262784845547,211.66775512695312,6796000
2023-06-07,213.68646622799133,215.45657810622552,203.6425600287225,204.5872802734375,9323900
2023-06-08,204.239237347263,209.2114652295196,203.71218240566662,208.36618041992188,5548600
2023-06-09,209.5197409980338,217.44547345883308,209.5197409980338,214.11407470703125,7676700
2023-06-12,214.94940994913645,219.16586474752603,210.96168856360424,212.50308227539062,11568300
2023-06-13,214.3030341684292,215.0289752326594,206.76513444036763,207.81924438476562,11698900
2023-06-14,206.54636856495642,210.5341055277367,203.88126137623922,208.23692321777344,8963400
2023-06-15,206.79495451210497,212.1450765671345,206.21817425709133,210.74290466308594,7905400
2023-06-16,212.35389789099506,212.4632875093943,209.430240695119,210.5837860107422,13671200
2023-06-20,207.49106742279534,215.8444195290678,207.45129627555264,215.76486206054688,9522900
2023-06-21,215.3173579397348,216.590247048759,206.91429595196195,208.42584228515625,7971600
2023-06-22,208.4656264472969,212.77157751920268,207.92861735040276,212.10528564453125,5689800
2023-06-23,209.33080679768204,209.82802961667892,206.91431118089466,208.92308044433594,14017200
2023-06-26,207.85902000385636,210.57385219667032,206.19829770115885,206.20823669433594,4771500
2023-06-27,206.98391008126387,209.31090918289127,206.3673586545171,207.66014099121094,4014800
2023-06-28,207.2524062088582,211.0213482666489,206.4469077198604,210.99151611328125,4775900
2023-06-29,210.72302096881864,211.46885518438648,208.5551367991054,209.2611846923828,3838300
2023-06-30,210.683251816863,212.66220408357387,209.78825681931556,210.08657836914062,5983800
2023-07-03,209.40043826701998,210.78271718262602,208.75403945779993,210.47442626953125,2400000
2023-07-05,209.32086425584563,213.42791435279827,208.92307690296911,212.6323699951172,5069300
2023-07-06,210.02690346608046,211.3196857549176,206.67562671709376,208.97279357910156,4250900
2023-07-07,208.60485037731894,210.931849357188,208.11756658791313,208.42584228515625,3020800
2023-07-10,207.8391399810536,211.68763977477192,207.16292422541824,211.6279754638672,3820100
2023-07-11,220.82659960462183,221.11499734187967,216.03337944055676,219.94154357910156,10030500
2023-07-12,220.66747123253413,226.82309188705983,220.37908868685818,226.01759338378906,8923500
2023-07-13,226.99215792065044,229.6771733067687,226.33583532590075,229.09043884277344,5800300
2023-07-14,228.4241533986191,230.9102674216211,226.88275966955067,228.05621337890625,4274700
2023-07-17,227.9667148084202,229.00093155585253,226.54464970991063,226.7335968017578,3557900
2023-07-18,225.78888133988374,228.34459869600053,224.2176554374226,226.36566162109375,5094200
2023-07-19,232.6803736161099,236.8968283571066,229.94564825869344,233.06820678710938,8516300
2023-07-20,229.81638799383484,232.20305140331234,226.05738477818804,226.89271545410156,5303000
